county_fips,county_name,Thunderstorm Wind,Hail,Tornado,total_records,is_lehigh_valley
42001,Adams,130,13,1,144,False
42003,Allegheny,798,252,13,1063,False
42005,Armstrong,181,47,2,230,False
42007,Beaver,271,63,9,343,False
42009,Bedford,67,14,4,85,False
42011,Berks,606,77,9,692,False
42013,Blair,131,17,0,148,False
42015,Bradford,158,43,8,209,False
42017,Bucks,279,51,12,342,False
42019,Butler,300,112,11,423,False
42021,Cambria,148,15,5,168,False
42023,Cameron,29,2,0,31,False
42025,Carbon,96,13,2,111,False
42027,Centre,252,29,4,285,False
42029,Chester,533,46,3,582,False
42031,Clarion,168,38,9,215,False
42033,Clearfield,199,7,0,206,False
42035,Clinton,136,18,2,156,False
42037,Columbia,104,16,1,121,False
42039,Crawford,232,73,7,312,False
42041,Cumberland,121,18,3,142,False
42043,Dauphin,202,33,6,241,False
42045,Delaware,209,36,1,246,False
42047,Elk,101,5,7,113,False
42049,Erie,152,55,6,213,False
42051,Fayette,254,67,9,330,False
42053,Forest,80,9,5,94,False
42055,Franklin,128,34,4,166,False
42057,Fulton,29,12,4,45,False
42059,Greene,129,11,5,145,False
42061,Huntingdon,125,12,4,141,False
42063,Indiana,224,76,7,307,False
42065,Jefferson,217,44,6,267,False
42067,Juniata,56,7,4,67,False
42069,Lackawanna,146,31,6,183,False
42071,Lancaster,299,53,9,361,False
42073,Lawrence,201,65,2,268,False
42075,Lebanon,134,17,4,155,False
42077,Lehigh,250,58,5,313,True
42079,Luzerne,179,40,5,224,False
42081,Lycoming,198,26,5,229,False
42083,McKean,101,23,0,124,False
42085,Mercer,293,87,6,386,False
42087,Mifflin,90,8,1,99,False
42089,Monroe,205,17,1,223,False
42091,Montgomery,409,71,4,484,False
42093,Montour,21,13,0,34,False
42095,Northampton,214,35,2,251,True
42097,Northumberland,120,13,4,137,False
42099,Perry,102,10,3,115,False
42101,Philadelphia,194,17,4,215,False
42103,Pike,71,20,0,91,False
42105,Potter,84,10,4,98,False
42107,Schuylkill,112,18,4,134,False
42109,Snyder,77,12,4,93,False
42111,Somerset,147,15,4,166,False
42113,Sullivan,48,7,3,58,False
42115,Susquehanna,209,40,6,255,False
42117,Tioga,107,5,3,115,False
42119,Union,46,4,6,56,False
42121,Venango,202,35,3,240,False
42123,Warren,146,13,7,166,False
42125,Washington,364,82,16,462,False
42127,Wayne,79,16,4,99,False
42129,Westmoreland,575,151,19,745,False
42131,Wyoming,63,8,1,72,False
42133,York,299,56,10,365,False
